'DAY  D A J
KULATAHIN  K U L A T A HH I N
KULATAIN  K U L A T A Q I N
KULAW  K U L A W
KULAWIN  K U L A W I N
KULAWO  K U L A W O
KULAWO'  K U L A W O Q
KULAYIN  K U L A J I N
KULAYLAWAS  K U L A J L A W A S
KULAYO  K U L A J O
KULAYO'  K U L A J O Q
KULAYPUTOL  K U L A J P U T O L
KULAYSUKAT  K U L A J S U K A T
KULELAT  K U L E L A T
KULIG  K U L I G
KULIGLIG  K U L I G L I G
KULILIPAW  K U L I L I P A W
KULILIS  K U L I L I S
KULIMBA  K U L I M B A
KULIMBA'  K U L I M B A Q
KULIMBAT  K U L I M B A T
KULIMLIM  K U L I M L I M
KULINARYA  K U L I N A DX J A
KULINARYA'  K U L I N A DX J A Q
KULINTANG  K U L I N T A NG
KULISAP  K U L I S A P
KULISAW  K U L I S A W
KULIT  K U L I T
KULITI  K U L I T I
KULITI'  K U L I T I Q
KULITIS  K U L I T I S
KULO  K U L O
KULO'  K U L O Q
KULOB  K U L O B
KULOG  K U L O G
KULONG  K U L O NG
KULOS  K U L O S
KULOT  K U L O T
KULPURALIS  K U L P U DX A L I S
KULTO  K U L T O
KULTO'  K U L T O Q
KULTURA  K U L T U DX A
KULTURA'  K U L T U DX A Q
KULUBONG  K U L U B O NG
KULUBOT  K U L U B O T
KULUGO  K U L U H O
KULUGO'  K U L U H O Q
KULUNGAN  K U L U NG A N
KULUNOY  K U L U N O J
KULUNTOY  K U L U N T O J
KULYAWAN  K U L J A W A N
KUMABIG  K U M A B I G
KUMAGAT  K U M A H A T
KUMAHOG  K U M A HH O G
KUMAIN  K U M A Q I N
KUMAKABIG  K U M A K A B I G
KUMAKAIN  K U M A K A Q I N
KUMALAT  K U M A L A T
KUMAMPI  K U M A M P I
KUMAMPI'  K U M A M P I Q
KUMANAN  K U M A N A N
KUMANDER  K U M A N D E DX
KUMANTA  K U M A N T A
KUMANTA'  K U M A N T A Q
KUMAPAL  K U M A P A L
KUMAPIT  K U M A P I T
KUMARE  K U M A DX E
KUMARE'  K U M A DX E Q
KUMARIPAS  K U M A DX I P A S
KUMAYOD  K U M A J O D
KUMBAGA  K U M B A H A
KUMBAGA'  K U M B A H A Q
KUMBENSIYON  K U M B E N S I J O N
KUMBENSIYONAL  K U M B E N S I J O N A L
KUMBENTO  K U M B E N T O
KUMBENTO'  K U M B E N T O Q
KUMBIDA  K U M B I D A
KUMBIDA'  K U M B I D A Q
KUMBINSI  K U M B I N S I
KUMBINSI'  K U M B I N S I Q
KUMBINSIDO  K U M B I N S I D O
KUMBINSIDO'  K U M B I N S I D O Q
KUMBINSIHIN  K U M B I N S I HH I N
KUMBULSIYON  K U M B U L S I J O N
KUMIDLAT  K U M I D L A T
KUMIKO  K U M I K O
KUMIKO'  K U M I K O Q
KUMINOY  K U M I N O J
KUMINTAB  K U M I N T A B
KUMINTANG  K U M I N T A NG
KUMISLOT  K U M I S L O T
KUMITIL  K U M I T I L
KUMOT  K U M O T
KUMPARE  K U M P A DX E
KUMPARE'  K U M P A DX E Q
KUMPAS  K U M P A S
KUMPAY  K U M P A J
KUMPEDERASYON  K U M P E D E DX A SY O N
KUMPENSASYON  K U M P E N S A SY O N
KUMPIDENSIYAL  K U M P I D E N S I J A L
KUMPIDENSYAL  K U M P I D E N SY A L
KUMPIL  K U M P I L
KUMPILMA  K U M P I L M A
KUMPILMA'  K U M P I L M A Q
KUMPIRMA  K U M P I DX M A
KUMPIRMA'  K U M P I DX M A Q
KUMPIRMADO  K U M P I DX M A D O
KUMPIRMADO'  K U M P I DX M A D O Q
KUMPIRMASYON  K U M P I DX M A SY O N
KUMPISAL  K U M P I S A L
KUMPISKA  K U M P I S K A
KUMPISKA'  K U M P I S K A Q
KUMPIYANSA  K U M P I J A N S A
KUMPIYANSA'  K U M P I J A N S A Q
KUMPORME  K U M P O DX M E
KUMPORME'  K U M P O DX M E Q
KUMPRONTASYON  K U M P DX O N T A SY O N
KUMPULAN  K U M P U L A N
KUMPUNI  K U M P U N I
KUMPUNI'  K U M P U N I Q
KUMPURMI  K U M P U DX M I
KUMPURMI'  K U M P U DX M I Q
KUMPYANSA  K U M P J A N S A
KUMPYANSA'  K U M P J A N S A Q
KUMUHA  K U M U HH A
KUMUHA'  K U M U HH A Q
KUMUKUHA  K U M U K U HH A
KUMUKUHA'  K U M U K U HH A Q
KUMUKUPAS  K U M U K U P A S
KUMULANG  K U M U L A NG
KUMULIMLIM  K U M U L I M L I M
KUMULO  K U M U L O
KUMULO'  K U M U L O Q
KUMULOG  K U M U L O G
KUMUNOY  K U M U N O J
KUMUPAS  K U M U P A S
KUMURASON  K U M U DX A S O N
KUMUSTA  K U M U S T A
KUMUSTA'  K U M U S T A Q
KUMUTAN  K U M U T A N
KUMUYAKOY  K U M U J A K O J
KUN  K U N
KUNAN  K U N A N
KUNAT  K U N A T
KUNDANGAN  K U N D A NG A N
KUNDENA  K U N D E N A
KUNDENA'  K U N D E N A Q
KUNDI  K U N D I
KUNDI'  K U N D I Q
KUNDIMAN  K U N D I M A N
KUNDOL  K U N D O L
KUNEHO  K U N E HH O
KUNEHO'  K U N E HH O Q
KUNEKSYON  K U N E K SY O N
KUNG  K U NG
KUNGYARI  K U NG J A DX I
KUNGYARI'  K U NG J A DX I Q
KUNIKO  K U N I K O
KUNIKO'  K U N I K O Q
KUNIN  K U N I N
KUNO  K U N O
KUNO'  K U N O Q
KUNSI  K U N S I
KUNSI'  K U N S I Q
KUNSIDERASYON  K U N S I D E DX A SY O N
KUNSINTI  K U N S I N T I
KUNSINTI'  K U N S I N T I Q
KUNSINTIDOR  K U N S I N T I D O DX
KUNSINTIDORA  K U N S I N T I D O DX A
KUNSINTIDORA'  K U N S I N T I D O DX A Q
KUNSINTIHIN  K U N S I N T I HH I N
KUNSUMIDO  K U N S U M I D O
KUNSUMIDO'  K U N S U M I D O Q
KUNSUMISYON  K U N S U M I SY O N
KUNSUMO  K U N S U M O
KUNSUMO'  K U N S U M O Q
KUNTADOR  K U N T A D O DX
KUNTSABA  K U N TS A B A
KUNTSABA'  K U N TS A B A Q
KUNTSABAHAN  K U N TS A B A HH A N
KUNWA  K U N W A
KUNWA'  K U N W A Q
KUNWARI  K U N W A DX I
KUNWARI'  K U N W A DX I Q
KUNYARI  K U N J A DX I
KUNYARI'  K U N J A DX I Q
KUPAD  K U P A D
KUPAL  K U P A L
KUPANG  K U P A NG
KUPAS  K U P A S
KUPETE  K U P E T E
KUPETE'  K U P E T E Q
KUPI  K U P I
KUPI'  K U P I Q
KUPIDO  K U P I D O
KUPIDO'  K U P I D O Q
KUPING  K U P I NG
KUPIT  K U P I T
KUPO  K U P O
KUPO'  K U P O Q
KUPON  K U P O N
KUPONG  K U P O NG
KUPYA  K U P J A
KUPYA'  K U P J A Q
KURA  K U DX A
KURA'  K U DX A Q
KURAG  K U DX A G
KURAKOT  K U DX A K O T
KURAL  K U DX A L
KURAMOS  K U DX A M O S
KURAP  K U DX A P
KURARAP  K U DX A DX A P
KURASON  K U DX A S O N
KURASUNIN  K U DX A S U N I N
KURBA  K U DX B A
KURBA'  K U DX B A Q
KURBADA  K U DX B A D A
KURBADA'  K U DX B A D A Q
KURBATA  K U DX B A T A
KURBATA'  K U DX B A T A Q
KURIKAN  K U DX I K A N
KURIKONG  K U DX I K O NG
KURIKULUM  K U DX I K U L U M
KURIPOT  K U DX I P O T
KURISMA  K U DX I S M A
KURISMA'  K U DX I S M A Q
KURITA  K U DX I T A
KURITA'  K U DX I T A Q
KURO  K U DX O
KURO'  K U DX O Q
KUROS  K U DX O S
KUROT  K U DX O T
KURSE  K U DX S E
KURSE'  K U DX S E Q
KURSILISTA  K U DX S I L I S T A
KURSILISTA'  K U DX S I L I S T A Q
KURSILYISTA  K U DX S I L J I S T A
KURSILYISTA'  K U DX S I L J I S T A Q
KURSILYO  K U DX S I L J O
KURSILYO'  K U DX S I L J O Q
KURSO  K U DX S O
KURSO'  K U DX S O Q
KURSONADA  K U DX S O N A D A
KURSONADA'  K U DX S O N A D A Q
KURSUNADA  K U DX S U N A D A
KURSUNADA'  K U DX S U N A D A Q
KURTINA  K U DX T I N A
KURTINA'  K U DX T I N A Q
KURUKYA  K U DX U K J A
KURUKYA'  K U DX U K J A Q
KURUS  K U DX U S
KURYENTE  K U DX J E N T E
KURYENTE'  K U DX J E N T E Q
KURYOSIDAD  K U DX J O S I D A D
KURYUSIDAD  K U DX J U S I D A D
KUSA  K U S A
KUSA'  K U S A Q
KUSI  K U S I
KUSI'  K U S I Q
KUSILBA  K U S I L B A
KUSILBA'  K U S I L B A Q
KUSIM  K U S I M
KUSIN  K U S I N
KUSINA  K U S I N A
KUSINA'  K U S I N A Q
KUSINERA  K U S I N E DX A
KUSINERA'  K U S I N E DX A Q
KUSINERO  K U S I N E DX O
KUSINERO'  K U S I N E DX O Q
KUSING  K U S I NG
KUSINILYA  K U S I N I L J A
KUSINILYA'  K U S I N I L J A Q
KUSKOS  K U S K O S
KUSKUSIN  K U S K U S I N
KUSOT  K U S O T
KUSTABLE  K U S T A B L E
KUSTABLE'  K U S T A B L E Q
KUSTABULARYO  K U S T A B U L A DX J O
KUSTABULARYO'  K U S T A B U L A DX J O Q
KUSTAL  K U S T A L
KUSTODIYA  K U S T O D I J A
KUSTODIYA'  K U S T O D I J A Q
KUSTODYA  K U S T O DY A
KUSTODYA'  K U S T O DY A Q
KUSTOMER  K U S T O M E DX
KUTA  K U T A
KUTA'  K U T A Q
KUTAB  K U T A B
KUTAD  K U T A D
KUTAMAYA  K U T A M A J A
KUTAMAYA'  K U T A M A J A Q
KUTEHO  K U T E HH O
KUTEHO'  K U T E HH O Q
KUTILTIL  K U T I L T I L
KUTING  K U T I NG
KUTINGTING  K U T I NG T I NG
KUTINGTINGIN  K U T I NG T I NG I N
KUTIPAW  K U T I P A W
KUTIPYO  K U T I P J O
KUTIPYO'  K U T I P J O Q
KUTIS  K U T I S
KUTITAP  K U T I T A P
KUTKOT  K U T K O T
KUTO  K U T O
KUTO'  K U T O Q
KUTOB  K U T O B
KUTOG  K U T O G
KUTON  K U T O N
KUTONG  K U T O NG
KUTOS  K U T O S
KUTSABA  K U TS A B A
KUTSABA'  K U TS A B A Q
KUTSABAHAN  K U TS A B A HH A N
KUTSADA  K U TS A D A
KUTSADA'  K U TS A D A Q
KUTSARA  K U TS A DX A
KUTSARA'  K U TS A DX A Q
KUTSARAHIN  K U TS A DX A HH I N
KUTSARITA  K U TS A DX I T A
KUTSARITA'  K U TS A DX I T A Q
KUTSARITAHIN  K U TS A DX I T A HH I N
KUTSARON  K U TS A DX O N
KUTSAY  K U TS A J
KUTSERO  K U TS E DX O
KUTSERO'  K U TS E DX O Q
KUTSILYO  K U TS I L J O
KUTSILYO'  K U TS I L J O Q
KUTSINTA  K U TS I N T A
KUTSINTA'  K U TS I N T A Q
KUTSON  K U TS O N
KUTSUKUTSO  K U TS U K U TS O
KUTSUKUTSO'  K U TS U K U TS O Q
KUTYA  K U T J A
KUTYA'  K U T J A Q
KUTYOG  K U T J O G
KUWA  K U W A
KUWA'  K U W A Q
KUWADERNO  K U W A D E DX N O
KUWADERNO'  K U W A D E DX N O Q
KUWADRA  K U W A D DX A
KUWADRA'  K U W A D DX A Q
KUWADRADO  K U W A D DX A D O
KUWADRADO'  K U W A D DX A D O Q
KUWADRILATERO  K U W A D DX I L A T E DX O
KUWADRILATERO'  K U W A D DX I L A T E DX O Q
KUWADRILYA  K U W A D DX I L J A
KUWADRILYA'  K U W A D DX I L J A Q
KUWADRILYON  K U W A D DX I L J O N
KUWADRO  K U W A D DX O
KUWADRO'  K U W A D DX O Q
KUWADRUPEDO  K U W A D DX U P E D O
KUWADRUPEDO'  K U W A D DX U P E D O Q
KUWAGO  K U W A H O
KUWAGO'  K U W A H O Q
KUWAHO  K U W A HH O
KUWAHO'  K U W A HH O Q
KUWAK  K U W A K
KUWAKO  K U W A K O
KUWAKO'  K U W A K O Q
KUWALIPIKASYON  K U W A L I P I K A SY O N
KUWALTA  K U W A L T A
KUWALTA'  K U W A L T A Q
KUWAN  K U W A N
KUWAPAW  K U W A P A W
KUWARENTA  K U W A DX E N T A
KUWARENTA'  K U W A DX E N T A Q
KUWARENTENA  K U W A DX E N T E N A
KUWARENTENA'  K U W A DX E N T E N A Q
KUWARENTENAS  K U W A DX E N T E N A S
KUWARESMA  K U W A DX E S M A
KUWARESMA'  K U W A DX E S M A Q
KUWARSO  K U W A DX S O
KUWARSO'  K U W A DX S O Q
KUWARTA  K U W A DX T A
KUWARTA'  K U W A DX T A Q
KUWARTEL  K U W A DX T E L
KUWARTETO  K U W A DX T E T O
KUWARTETO'  K U W A DX T E T O Q
KUWARTO  K U W A DX T O
KUWARTO'  K U W A DX T O Q
KUWATRO  K U W A T DX O
KUWATRO'  K U W A T DX O Q
KUWEBA  K U W E B A
KUWEBA'  K U W E B A Q
KUWEKONG  K U W E K O NG
KUWELA  K U W E L A
KUWELA'  K U W E L A Q
KUWELYO  K U W E L J O
KUWELYO'  K U W E L J O Q
KUWENTA  K U W E N T A
KUWENTA'  K U W E N T A Q
KUWENTO  K U W E N T O
KUWENTO'  K U W E N T O Q
KUWERBO  K U W E DX B O
KUWERBO'  K U W E DX B O Q
KUWERDAS  K U W E DX D A S
KUWESTIYON  K U W E S T I J O N
KUWESTIYONABLE  K U W E S T I J O N A B L E
KUWESTIYONABLE'  K U W E S T I J O N A B L E Q
KUWIDAW  K U W I D A W
KUWINTAS  K U W I N T A S
KUWIT  K U W I T
KUWITIB  K U W I T I B
KUWITIS  K U W I T I S
KUYA  K U J A
KUYA'  K U J A Q
KUYAKOY  K U J A K O J
KUYAW  K U J A W
KUYO  K U J O
KUYO'  K U J O Q
KUYOG  K U J O G
KUYOM  K U J O M
KUYS  K U J S
KUYUGIN  K U J U H I N
KUYUKOT  K U J U K O T
KUYUMAD  K U J U M A D
KUYUMPIT  K U J U M P I T
KWENTA  K W E N T A
KWENTA'  K W E N T A Q
KWOK  K W O K
KYOKO  K J O K O
KYOKO'  K J O K O Q
KYU  K J U
KYU'  K J U Q
KYUSI  K J U S I
KYUSI'  K J U S I Q
KYUT  K J U T
KYUTIKEL  K J U T I K E L
KYUTIKS  K J U T I K S
LA  L A
LA'  L A Q
LAAB  L A Q A B
LAAN  L A Q A N
LAANG  L A Q A NG
LAAS  L A Q A S
LABA  L A B A
LABA'  L A B A Q
LABABO  L A B A B O
LABABO'  L A B A B O Q
LABADA  L A B A D A
LABADA'  L A B A D A Q
LABADORA  L A B A D O DX A
LABADORA'  L A B A D O DX A Q
LABAG  L A B A G
LABAHA  L A B A HH A
LABAHA'  L A B A HH A Q
LABAHAN  L A B A HH A N
LABAHIN  L A B A HH I N
LABAK  L A B A K
LABAKARA  L A B A K A DX A
LABAKARA'  L A B A K A DX A Q
LABAN  L A B A N
LABANDERA  L A B A N D E DX A
LABANDERA'  L A B A N D E DX A Q
LABANDERIYA  L A B A N D E DX I J A
LABANDERIYA'  L A B A N D E DX I J A Q
LABANDERO  L A B A N D E DX O
LABANDERO'  L A B A N D E DX O Q
LABANOS  L A B A N O S
LABAS  L A B A S
LABASAN  L A B A S A N
LABASKAPHAY  L A B A S K A P HH A J
LABASTIDA  L A B A S T I D A
LABASTIDA'  L A B A S T I D A Q
LABATIBA  L A B A T I B A
LABATIBA'  L A B A T I B A Q
LABAW  L A B A W
LABAWLIKNAYAN  L A B A W L I K N A J A N
LABAWSUGNAYAN  L A B A W S U G N A J A N
LABERINTO  L A B E DX I N T O
LABERINTO'  L A B E DX I N T O Q
LABHAN  L A B HH A N
LABI  L A B I
LABI'  L A B I Q
LABIMPITO  L A B I M P I T O
LABIMPITO'  L A B I M P I T O Q
LABINDALAWA  L A B I N D A L A W A
LABINDALAWA'  L A B I N D A L A W A Q
LABING  L A B I NG
LABINGWALO  L A B I NG W A L O
LABINGWALO'  L A B I NG W A L O Q
LABINLIMA  L A B I N L I M A
LABINLIMA'  L A B I N L I M A Q
LABINSIYAM  L A B I N S I J A M
LABINTADOR  L A B I N T A D O DX
LABINTATLO  L A B I N T A T L O
LABINTATLO'  L A B I N T A T L O Q
LABIS  L A B I S
LABLAB  L A B L A B
LABNAW  L A B N A W
LABNOT  L A B N O T
LABO  L A B O
LABO'  L A B O Q
LABON  L A B O N
LABONG  L A B O NG
LABORATORYO  L A B O DX A T O DX J O
LABORATORYO'  L A B O DX A T O DX J O Q
LABOY  L A B O J
LABSO  L A B S O
LABSO'  L A B S O Q
LABTIK  L A B T I K
LABUYO  L A B U J O
LABUYO'  L A B U J O Q
LACAMBRA  L A K A M B DX A
LACAMBRA'  L A K A M B DX A Q
LACANDOLA  L A K A N D O L A
LACANDOLA'  L A K A N D O L A Q
LACANILAO  L A K A N I L A O
LACANILAO'  L A K A N I L A O Q
LACAP  L A K A P
LACERNA  L A K E DX N A
LACERNA'  L A K E DX N A Q
LACSAMANA  L A K S A M A N A
LACSAMANA'  L A K S A M A N A Q
LACSON  L A K S O N
LADLAD  L A D L A D
LADRILYO  L A D DX I L J O
LADRILYO'  L A D DX I L J O Q
LADYA  L A DY A
LADYA'  L A DY A Q
LAGA  L A H A
LAGA'  L A H A Q
LAGABAG  L A H A B A G
LAGABLAB  L A H A B L A B
LAGABOG  L A H A B O G
LAGAK  L A H A K
LAGAKLAK  L A H A K L A K
LAGALAG  L A H A L A G
LAGANAP  L A H A N A P
LAGANAS  L A H A N A S
LAGAP  L A H A P
LAGAPAK  L A H A P A K
LAGARI  L A H A DX I
LAGARI'  L A H A DX I Q
LAGAS  L A H A S
LAGASAW  L A H A S A W
LAGASLAS  L A H A S L A S
LAGAY  L A H A J
LAGAYAN  L A H A J A N
LAGAYLAY  L A H A J L A J
LAGDA  L A G D A
LAGDA'  L A G D A Q
LAGDAAN  L A G D A Q A N
LAGDAMEO  L A G D A M E O
LAGDAMEO'  L A G D A M E O Q
LAGI  L A H I
LAGI'  L A H I Q
LAGIBAS  L A H I B A S
LAGIKWAY  L A H I K W A J
LAGIM  L A H I M
LAGINIT  L A H I N I T
LAGIS  L A H I S
LAGISLIS  L A H I S L I S
LAGITIK  L A H I T I K
LAGITLIT  L A H I T L I T
LAGKIT  L A G K I T
LAGLAG  L A G L A G
LAGMAK  L A G M A K
LAGMAN  L A G M A N
LAGMAY  L A G M A J
LAGNAT  L A G N A T
LAGNATIN  L A G N A T I N
LAGO  L A H O
LAGO'  L A H O Q
LAGOD  L A H O D
LAGOK  L A H O K
LAGOM  L A H O M
LAGONG  L A H O NG
LAGOS  L A H O S
LAGOT  L A H O T
LAGPAK  L A G P A K
LAGPAS  L A G P A S
LAGSANG  L A G S A NG
LAGUMBA  L A H U M B A
LAGUMBA'  L A H U M B A Q
LAGUMLALANGIN  L A H U M L A L A NG I N
LAGUNA  L A H U N A
LAGUNA'  L A H U N A Q
LAGUNDA  L A H U N D A
LAGUNDA'  L A H U N D A Q
LAGUNDAY  L A H U N D A J
LAGUNDI  L A H U N D I
LAGUNDI'  L A H U N D I Q
LAGUSAN  L A H U S A N
LAGUSLOS  L A H U S L O S
LAGUTOK  L A H U T O K
LAGUYO  L A H U J O
LAGUYO'  L A H U J O Q
LAGWAT  L A G W A T
LAGWERTA  L A G W E DX T A
LAGWERTA'  L A G W E DX T A Q
LAGYAN  L A G J A N
LAGYO  L A G J O
LAGYO'  L A G J O Q
LAHAD  L A HH A D
LAHAR  L A HH A DX
LAHAT  L A HH A T
LAHI  L A HH I
LAHI'  L A HH I Q
LAHID  L A HH I D
LAHOK  L A HH O K
LAHOY  L A HH O J
LAIN  L A Q I N
LAING  L A Q I NG
LAIT  L A Q I T
LAITIN  L A Q I T I N
LAKAD  L A K A D
LAKAMBINI  L A K A M B I N I
LAKAMBINI'  L A K A M B I N I Q
LAKAN  L A K A N
LAKANDIWA  L A K A N D I W A
LAKANDIWA'  L A K A N D I W A Q
LAKANSUGO  L A K A N S U H O
LAKANSUGO'  L A K A N S U H O Q
LAKAS  L A K A S
LAKATAN  L A K A T A N
LAKAYA  L A K A J A
LAKAYA'  L A K A J A Q
LAKBAY  L A K B A J
LAKDANG  L A K D A NG
LAKDAW  L A K D A W
LAKDAWKAPHAY  L A K D A W K A P HH A J
LAKDAWYUGTO  L A K D A W J U G T O
LAKDAWYUGTO'  L A K D A W J U G T O Q
LAKHAN  L A TS A N
LAKI  L A K I
LAKI'  L A K I Q
LAKIHAN  L A K I HH A N
LAKIP  L A K I P
LAKIT  L A K I T
LAKLAK  L A K L A K
LAKO  L A K O
LAKO'  L A K O Q
LAKRE  L A K DX E
LAKRE'  L A K DX E Q
LAKSA  L A K S A
LAKSA'  L A K S A Q
LAKSAMANA  L A K S A M A N A
LAKSAMANA'  L A K S A M A N A Q
LAKSANTE  L A K S A N T E
LAKSANTE'  L A K S A N T E Q
LAKSATIBA  L A K S A T I B A
LAKSATIBA'  L A K S A T I B A Q
LAKTAW  L A K T A W
LAKTOSA  L A K T O S A
LAKTOSA'  L A K T O S A Q
LAKWATSA  L A K W A TS A
LAKWATSA'  L A K W A TS A Q
LAKWATSERA  L A K W A TS E DX A
LAKWATSERA'  L A K W A TS E DX A Q
LAKWATSERO  L A K W A TS E DX O
LAKWATSERO'  L A K W A TS E DX O Q
LALA  L A L A
LALA'  L A L A Q
LALAB  L A L A B
LALABAN  L A L A B A N
LALABAS  L A L A B A S
LALAD  L A L A D
LALAGUKAN  L A L A H U K A N
LALAGYAN  L A L A G J A N
LALAKI  L A L A K I
LALAKI'  L A L A K I Q
LALAMUNAN  L A L A M U N A N
LALAN  L A L A N
LALANG  L A L A NG
LALANGHUTAN  L A L A NG HH U T A N
LALAWIGAN  L A L A W I H A N
LALAY  L A L A J
LALI  L A L I
LALI'  L A L I Q
LALIK  L A L I K
LALIM  L A L I M
LALIN  L A L I N
LALO  L A L O
LALO'  L A L O Q
LAM  L A M
LAMAD  L A M A D
LAMAN  L A M A N
LAMANG  L A M A NG
LAMAS  L A M A S
LAMASIN  L A M A S I N
LAMAT  L A M A T
LAMAY  L A M A J
LAMBA  L A M B A
LAMBA'  L A M B A Q
LAMBAK  L A M B A K
LAMBAL  L A M B A L
LAMBANA  L A M B A N A
LAMBANA'  L A M B A N A Q
LAMBANG  L A M B A NG
LAMBANOG  L A M B A N O G
LAMBAT  L A M B A T
LAMBAYOG  L A M B A J O G
LAMBI  L A M B I
LAMBI'  L A M B I Q
LAMBING  L A M B I NG
LAMBITIN  L A M B I T I N
LAMBOT  L A M B O T
LAMBUTSI  L A M B U TS I
LAMBUTSI'  L A M B U TS I Q
LAMBUTSING  L A M B U TS I NG
LAMBUTSINGAN  L A M B U TS I NG A N
LAMESA  L A M E S A
LAMESA'  L A M E S A Q
LAMESITA  L A M E S I T A
LAMESITA'  L A M E S I T A Q
LAMIG  L A M I G
LAMIRA  L A M I DX A
LAMIRA'  L A M I DX A Q
LAMO  L A M O
LAMO'  L A M O Q
LAMOD  L A M O D
LAMOG  L A M O G
LAMOK  L A M O K
LAMON  L A M O N
LAMOS  L A M O S
LAMPA  L A M P A
LAMPA'  L A M P A Q
LAMPARA  L A M P A DX A
LAMPARA'  L A M P A DX A Q
LAMPAS  L A M P A S
LAMPASO  L A M P A S O
LAMPASO'  L A M P A S O Q
LAMPIK  L A M P I K
LAMPIN  L A M P I N
LAMPONG  L A M P O NG
LAMUGA  L A M U H A
LAMUGA'  L A M U H A Q
LAMUKOS  L A M U K O S
LAMUYMOY  L A M U J M O J
LAMYERDA  L A M J E DX D A
LAMYERDA'  L A M J E DX D A Q
LANA  L A N A
LANA'  L A N A Q
LANAB  L A N A B
LANAO  L A N A O
LANAO'  L A N A O Q
LANAP  L A N A P
LANAW  L A N A W
LANAY  L A N A J
LANDA  L A N D A
LANDA'  L A N D A Q
LANDANG  L A N D A NG
LANDAS  L A N D A S
LANDI  L A N D I
LANDI'  L A N D I Q
LANDICHO  L A N D I TS O
LANDICHO'  L A N D I TS O Q
LANDIT  L A N D I T
LANDRITO  L A N D DX I T O
LANDRITO'  L A N D DX I T O Q
LANG  L A NG
LANGAL  L A NG A L
LANGARAY  L A NG A DX A J
LANGASNGAS  L A NG A S NG A S
LANGAW  L A NG A W
LANGAWIN  L A NG A W I N
LANGAYAK  L A NG A J A K
LANGGAM  L A NG G A M
LANGGAS  L A NG G A S
LANGGONISA  L A NG G O N I S A
LANGGONISA'  L A NG G O N I S A Q
LANGGOTSE  L A NG G O TS E
LANGGOTSE'  L A NG G O TS E Q
LANGHAP  L A NG HH A P
LANGHAPAN  L A NG HH A P A N
LANGIB  L A NG I B
LANGIL  L A NG I L
LANGIS  L A NG I S
LANGIT  L A NG I T
LANGITNGIT  L A NG I T NG I T
LANGKA  L A NG K A
LANGKA'  L A NG K A Q
LANGKAAN  L A NG K A Q A N
LANGKAL  L A NG K A L
LANGKAP  L A NG K A P
LANGKAS  L A NG K A S
LANGKAW  L A NG K A W
LANGKAY  L A NG K A J
LANGKAYAN  L A NG K A J A N
LANGKIWA  L A NG K I W A
LANGKIWA'  L A NG K I W A Q
LANGLANG  L A NG L A NG
LANGO  L A NG O
LANGO'  L A NG O Q
LANGOY  L A NG O J
LANGPAS  L A NG P A S
LANGYOT  L A NG J O T
LANIP  L A N I P
LANLAN  L A N L A N
LANSA  L A N S A
LANSA'  L A N S A Q
LANSANG  L A N S A NG
LANSANGAN  L A N S A NG A N
LANSINA  L A N S I N A
LANSINA'  L A N S I N A Q
LANSONES  L A N S O N E S
LANSONG  L A N S O NG
LANSUNGAN  L A N S U NG A N
LANTA  L A N T A
LANTA'  L A N T A Q
LANTAD  L A N T A D
LANTAK  L A N T A K
LANTAKA  L A N T A K A
LANTAKA'  L A N T A K A Q
LANTANA  L A N T A N A
LANTANA'  L A N T A N A Q
LANTAY  L A N T A J
LANTICAN  L A N T I K A N
LANTING  L A N T I NG
LANTOD  L A N T O D
LANTONG  L A N T O NG
LANTOT  L A N T O T
LANTSA  L A N TS A
LANTSA'  L A N TS A Q
LANTUTAY  L A N T U T A J
LANUBO  L A N U B O
LANUBO'  L A N U B O Q
LANUNAB  L A N U N A B
LANUZA  L A N U Z A
LANUZA'  L A N U Z A Q
LAO  L A O
LAO'  L A O Q
LAOAG  L A O A G
LAON  L A O N
LAOS  L A O S
LAOT  L A O T
LAPA  L A P A
LAPA'  L A P A Q
LAPAAN  L A P A Q A N
LAPAD  L A P A D
LAPAG  L A P A G
LAPAIN  L A P A Q I N
LAPAS  L A P A S
LAPASTANGAN  L A P A S T A NG A N
LAPASTANGANIN  L A P A S T A NG A N I N
LAPAT  L A P A T
LAPENYA  L A P E NY A
LAPENYA'  L A P E NY A Q
LAPI  L A P I
LAPI'  L A P I Q
LAPIDA  L A P I D A
LAPIDA'  L A P I D A Q
LAPIG  L A P I G
LAPING  L A P I NG
LAPIROT  L A P I DX O T
LAPISA  L A P I S A
LAPISA'  L A P I S A Q
LAPIT  L A P I T
LAPITAN  L A P I T A N
LAPLAP  L A P L A P
LAPNIS  L A P N I S
LAPNIT  L A P N I T
LAPNOS  L A P N O S
LAPOK  L A P O K
LAPOT  L A P O T
LAPTRIP  L A P T DX I P
LAPULAPU  L A P U L A P U
LAPULAPU'  L A P U L A P U Q
LAPURIT  L A P U DX I T
LAPUZ  L A P U Z
LAPYA  L A P J A
LAPYA'  L A P J A Q
LAPYAD  L A P J A D
LAQUI  L A K I
LAQUI'  L A K I Q
LAQUINDANUM  L A K I N D A N U M
LARA  L A DX A
LARA'  L A DX A Q
LARANG  L A DX A NG
LARANGAN  L A DX A NG A N
LARAWAN  L A DX A W A N
LARAY  L A DX A J
LARDIZABAL  L A DX D I Z A B A L
LARGA  L A DX G A
LARGA'  L A DX G A Q
LARIS  L A DX I S
LARO  L A DX O
